Brand, Product Name, Product Price
Lenovo,Lenovo TP T580 20L9001FUS 15.6" Touchscreen Laptop i5-8350U 8GB 256GB SSD W10P,Rp21.171.398
Lenovo,Lenovo TP P52s 20LB001AUS 15.6" Touchscreen Laptop i7-8650U 16GB 256GB SSD W10P,Rp24.095.268
Lenovo,Lenovo ThinkPad T480 20L50054US 14" Laptop i5-8350U 4GB 500GB HDD Windows 10 Pro,Rp16.842.858
Lenovo,Lenovo ThinkPad T580 20L9001UUS 15.6" Laptop i5-8350U 8GB 500GB HDD Win10 Pro,Rp18.414.286
ASUS,ASUS Laptop E203NA-YS03 Intel Celeron N3350 (1.1 GHz) 4 GB LPDDR3 Memory 64 GB eMMC SSD Intel HD Graphics 500 11.6" Windows 10 S,Rp3.538.572
ASUS,ASUS Laptop F705MA-DS21Q Intel Pentium Silver N5000 (1.10 GHz) 8 GB Memory 1 TB HDD Intel UHD Graphics 605 17.3" Windows 10 Home 64-Bit,Rp6.628.715
Lenovo,Lenovo Laptop ThinkPad T480 (20L5004HUS) Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 500 GB HDD Intel UHD Graphics 620 14.0" Windows 10 Pro 64-Bit,Rp12.109.971
Acer America,Acer Laptop TravelMate B TMB117-M-C012 Intel Celeron N3060 (1.60 GHz) 4 GB Memory 64 GB Flash SSD Intel HD Graphics 400 11.6" Windows 10 Pro 64-Bit,Rp2.940.609
Lenovo,Lenovo Laptop IdeaPad 330S 81FB0013US AMD Ryzen 3 2200U (2.50 GHz) 8 GB Memory 1 TB HDD AMD Radeon Vega 3 15.6" Windows 10 Home 64-Bit,Rp6.857.001
Lenovo,Lenovo Laptop - English ThinkPad T580 (20L9001JUS) Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6" Touchscreen Windows 10 Pro 64-bit,Rp20.675.214
Lenovo,Lenovo Laptop ThinkPad T480 (20L50018US) Intel Core i7 8th Gen 8650U (1.90 GHz) 16 GB Memory 512 GB SSD Intel UHD Graphics 620 14.0" Windows 10 Pro 64-Bit,Rp26.211.289
Lenovo,Lenovo Laptop ThinkPad T480s (20L7002HUS) Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 14.0" Windows 10 Pro 64-Bit,Rp19.007.624
ASUS,ASUS Laptop VivoBook W202NA-YS03 Intel Celeron N3350 (1.1 GHz) 4 GB LPDDR3 Memory 64 GB eMMC SSD Intel HD Graphics 500 11.6" Windows 10 S,Rp3.666.029
Lenovo,Lenovo Laptop IdeaPad 330 81DM0002US Intel Core i3 8th Gen 8130U (2.20 GHz) 6 GB Memory 1 TB HDD Intel UHD Graphics 620 17.3" Windows 10 Home 64-Bit,Rp6.968.001
